Model,Size (MB),Latency (ms),Throughput (QPS),Speedup,Accuracy
PyTorch,1058.4199485778809,8.274908065795898,120.84726404798043,1.0,0.8873517786561265
ONNX,1058.6793479919434,112.14977264404297,8.916647590307146,0.07378443906489217,0.8873517786561265
Quantized ONNX,265.40941524505615,78.89699220657349,12.67475441119139,0.10488242750914978,0.8992094861660079
